file,full_path,language,num_functions,functions_defined,dependencies,dependency_files,dependency_with_functions,dependency_full_paths,dependents,dependent_files,dependent_with_functions,dependent_full_paths,total_connections,num_classes,classes_defined,global_variables,exports
protractor.conf.js,Src\WebUI\ClientApp\e2e\protractor.conf.js,JavaScript,2,onPrepare; print,"const { SpecReporter } = require(""jasmine-spec-reporter""); require(""ts-node""); require(""path"")",jasmine-spec-reporter; ts-node; path,jasmine-spec-reporter::[no functions]; ts-node::[no functions]; path::[no functions],jasmine-spec-reporter; ts-node; path,,,,,3,0,,exports,config
app.e2e-spec.ts,Src\WebUI\ClientApp\e2e\src\app.e2e-spec.ts,TypeScript,2,beforeEach; it,import { AppPage } from './app.po';,./app.po,./app.po::[no functions],./app.po,,,,,1,0,,page,
app.po.ts,Src\WebUI\ClientApp\e2e\src\app.po.ts,TypeScript,2,navigateTo; getMainHeading,"import { browser, by, element } from 'protractor';",protractor,protractor::[no functions],protractor,,,,,1,1,AppPage,,AppPage
api-authorization.constants.ts,Src\WebUI\ClientApp\src\api-authorization\api-authorization.constants.ts,TypeScript,0,,,,,,,,,,0,0,,ApplicationName; ReturnUrlType; QueryParameterNames; LogoutActions; LoginActions; applicationPaths; ApplicationPaths,ApplicationName; ReturnUrlType; QueryParameterNames; LogoutActions; LoginActions; ApplicationPaths
api-authorization.module.spec.ts,Src\WebUI\ClientApp\src\api-authorization\api-authorization.module.spec.ts,TypeScript,2,beforeEach; it,import { ApiAuthorizationModule } from './api-authorization.module';,./api-authorization.module,./api-authorization.module::[no functions],./api-authorization.module,,,,,1,0,,apiAuthorizationModule,
api-authorization.module.ts,Src\WebUI\ClientApp\src\api-authorization\api-authorization.module.ts,TypeScript,0,,import { NgModule } from '@angular/core';; import { CommonModule } from '@angular/common';; import { LoginMenuComponent } from './login-menu/login-menu.component';; import { LoginComponent } from './login/login.component';; import { LogoutComponent } from './logout/logout.component';; import { RouterModule } from '@angular/router';; import { ApplicationPaths } from './api-authorization.constants';; import { HttpClientModule } from '@angular/common/http';,./login-menu/login-menu.component; ./login/login.component; ./logout/logout.component; ./api-authorization.constants,./login-menu/login-menu.component::[no functions]; ./login/login.component::[no functions]; ./logout/logout.component::[no functions]; ./api-authorization.constants::[no functions],./login-menu/login-menu.component; ./login/login.component; ./logout/logout.component; ./api-authorization.constants,,,,,4,1,ApiAuthorizationModule,,ApiAuthorizationModule
authorize.guard.spec.ts,Src\WebUI\ClientApp\src\api-authorization\authorize.guard.spec.ts,TypeScript,2,beforeEach; it,"import { TestBed, inject } from '@angular/core/testing';; import { AuthorizeGuard } from './authorize.guard';",@angular/core/testing; ./authorize.guard,@angular/core/testing::[no functions]; ./authorize.guard::[no functions],@angular/core/testing; ./authorize.guard,,,,,2,0,,,
authorize.guard.ts,Src\WebUI\ClientApp\src\api-authorization\authorize.guard.ts,TypeScript,2,canActivate; handleAuthorization,"import { Injectable } from '@angular/core';; import { CanActivate, ActivatedRouteSnapshot, RouterStateSnapshot, Router } from '@angular/router';; import { Observable } from 'rxjs';; import { AuthorizeService } from './authorize.service';; import { tap } from 'rxjs/operators';; import { ApplicationPaths, QueryParameterNames } from './api-authorization.constants';",@angular/core; @angular/router; rxjs; ./authorize.service; rxjs/operators; ./api-authorization.constants,@angular/core::[no functions]; @angular/router::[no functions]; rxjs::[no functions]; ./authorize.service::[no functions]; rxjs/operators::[no functions]; ./api-authorization.constants::[no functions],@angular/core; @angular/router; rxjs; ./authorize.service; rxjs/operators; ./api-authorization.constants,,,,,6,1,AuthorizeGuard,,AuthorizeGuard
authorize.interceptor.spec.ts,Src\WebUI\ClientApp\src\api-authorization\authorize.interceptor.spec.ts,TypeScript,2,beforeEach; it,"import { TestBed, inject } from '@angular/core/testing';; import { AuthorizeInterceptor } from './authorize.interceptor';",@angular/core/testing; ./authorize.interceptor,@angular/core/testing::[no functions]; ./authorize.interceptor::[no functions],@angular/core/testing; ./authorize.interceptor,,,,,2,0,,,
authorize.interceptor.ts,Src\WebUI\ClientApp\src\api-authorization\authorize.interceptor.ts,TypeScript,3,intercept; processRequestWithToken; isSameOriginUrl,"import { Injectable } from '@angular/core';; import { HttpInterceptor, HttpRequest, HttpHandler, HttpEvent } from '@angular/common/http';; import { Observable } from 'rxjs';; import { AuthorizeService } from './authorize.service';; import { mergeMap } from 'rxjs/operators';",@angular/core; @angular/common/http; rxjs; ./authorize.service; rxjs/operators,@angular/core::[no functions]; @angular/common/http::[no functions]; rxjs::[no functions]; ./authorize.service::[no functions]; rxjs/operators::[no functions],@angular/core; @angular/common/http; rxjs; ./authorize.service; rxjs/operators,,,,,5,1,AuthorizeInterceptor,,AuthorizeInterceptor
authorize.service.spec.ts,Src\WebUI\ClientApp\src\api-authorization\authorize.service.spec.ts,TypeScript,2,beforeEach; it,"import { TestBed, inject } from '@angular/core/testing';; import { AuthorizeService } from './authorize.service';",@angular/core/testing; ./authorize.service,@angular/core/testing::[no functions]; ./authorize.service::[no functions],@angular/core/testing; ./authorize.service,,,,,2,0,,,
authorize.service.ts,Src\WebUI\ClientApp\src\api-authorization\authorize.service.ts,TypeScript,13,isAuthenticated; getUser; getAccessToken; signIn; completeSignIn; signOut; completeSignOut; createArguments; error; success; redirect; ensureUserManagerInitialized; getUserFromStorage,"import { Injectable } from '@angular/core';; import { User, UserManager, WebStorageStateStore } from 'oidc-client';; import { BehaviorSubject, concat, from, Observable } from 'rxjs';; import { filter, map, mergeMap, take, tap } from 'rxjs/operators';; import { ApplicationPaths, ApplicationName } from './api-authorization.constants';",./api-authorization.constants,./api-authorization.constants::[no functions],./api-authorization.constants,,,,,1,1,AuthorizeService,popUpDisabled; userManager; userSubject,AuthorizeService; IAuthenticationResult; SuccessAuthenticationResult; FailureAuthenticationResult; RedirectAuthenticationResult; AuthenticationResultStatus; IUser
login-menu.component.spec.ts,Src\WebUI\ClientApp\src\api-authorization\login-menu\login-menu.component.spec.ts,TypeScript,3,beforeEach; beforeEach; it,"import { async, ComponentFixture, TestBed } from '@angular/core/testing';; import { LoginMenuComponent } from './login-menu.component';",@angular/core/testing; ./login-menu.component,@angular/core/testing::[no functions]; ./login-menu.component::[no functions],@angular/core/testing; ./login-menu.component,,,,,2,0,,component; fixture,
login-menu.component.ts,Src\WebUI\ClientApp\src\api-authorization\login-menu\login-menu.component.ts,TypeScript,1,ngOnInit,"import { Component, OnInit } from '@angular/core';; import { AuthorizeService } from '../authorize.service';; import { Observable } from 'rxjs';; import { map, tap } from 'rxjs/operators';",@angular/core; ../authorize.service; rxjs; rxjs/operators,@angular/core::[no functions]; ../authorize.service::[no functions]; rxjs::[no functions]; rxjs/operators::[no functions],@angular/core; ../authorize.service; rxjs; rxjs/operators,,,,,4,1,LoginMenuComponent,,LoginMenuComponent
login.component.spec.ts,Src\WebUI\ClientApp\src\api-authorization\login\login.component.spec.ts,TypeScript,3,beforeEach; beforeEach; it,"import { async, ComponentFixture, TestBed } from '@angular/core/testing';; import { LoginComponent } from './login.component';",@angular/core/testing; ./login.component,@angular/core/testing::[no functions]; ./login.component::[no functions],@angular/core/testing; ./login.component,,,,,2,0,,component; fixture,
login.component.ts,Src\WebUI\ClientApp\src\api-authorization\login\login.component.ts,TypeScript,8,ngOnInit; login; processLoginCallback; redirectToRegister; redirectToProfile; navigateToReturnUrl; getReturnUrl; redirectToApiAuthorizationPath,"import { Component, OnInit } from '@angular/core'; import { AuthorizeService, AuthenticationResultStatus } from '../authorize.service'; import { ActivatedRoute, Router } from '@angular/router'; import { BehaviorSubject } from 'rxjs'; import { LoginActions, QueryParameterNames, ApplicationPaths, ReturnUrlType } from '../api-authorization.constants'",@angular/core; ../authorize.service; @angular/router; rxjs; ../api-authorization.constants,@angular/core::[no functions]; ../authorize.service::[no functions]; @angular/router::[no functions]; rxjs::[no functions]; ../api-authorization.constants::[no functions],@angular/core; ../authorize.service; @angular/router; rxjs; ../api-authorization.constants,,,,,5,1,LoginComponent,message,LoginComponent
logout.component.spec.ts,Src\WebUI\ClientApp\src\api-authorization\logout\logout.component.spec.ts,TypeScript,3,beforeEach; beforeEach; it,"import { async, ComponentFixture, TestBed } from '@angular/core/testing';; import { LogoutComponent } from './logout.component';",@angular/core/testing; ./logout.component,@angular/core/testing::[no functions]; ./logout.component::[no functions],@angular/core/testing; ./logout.component,,,,,2,0,,component; fixture,
logout.component.ts,Src\WebUI\ClientApp\src\api-authorization\logout\logout.component.ts,TypeScript,5,ngOnInit; logout; processLogoutCallback; navigateToReturnUrl; getReturnUrl,"import { Component, OnInit } from '@angular/core';; import { AuthenticationResultStatus, AuthorizeService } from '../authorize.service';; import { BehaviorSubject } from 'rxjs';; import { ActivatedRoute, Router } from '@angular/router';; import { take } from 'rxjs/operators';; import { LogoutActions, ApplicationPaths, ReturnUrlType } from '../api-authorization.constants';",@angular/core; ../authorize.service; rxjs; @angular/router; rxjs/operators; ../api-authorization.constants,@angular/core::[no functions]; ../authorize.service::[no functions]; rxjs::[no functions]; @angular/router::[no functions]; rxjs/operators::[no functions]; ../api-authorization.constants::[no functions],@angular/core; ../authorize.service; rxjs; @angular/router; rxjs/operators; ../api-authorization.constants,,,,,6,1,LogoutComponent,message,LogoutComponent
app.component.ts,Src\WebUI\ClientApp\src\app\app.component.ts,TypeScript,0,,import { Component } from '@angular/core';,@angular/core,@angular/core::[no functions],@angular/core,,,,,1,1,AppComponent,title,AppComponent
app.icons.module.ts,Src\WebUI\ClientApp\src\app\app.icons.module.ts,TypeScript,0,,"import { NgModule } from '@angular/core';; import { FeatherModule } from 'angular-feather';; import { Home, File, ShoppingCart, Users, BarChart2, Layers, PlusCircle, FileText } from 'angular-feather/icons';",@angular/core; angular-feather; angular-feather/icons,@angular/core::[no functions]; angular-feather::[no functions]; angular-feather/icons::[no functions],@angular/core; angular-feather; angular-feather/icons,,,,,3,1,AppIconsModule,icons,AppIconsModule
app.module.ts,Src\WebUI\ClientApp\src\app\app.module.ts,TypeScript,0,,"import { NgModule } from '@angular/core';; import { FormsModule } from '@angular/forms';; import { HttpClientModule, HTTP_INTERCEPTORS } from '@angular/common/http';; import { AppRoutingModule } from './app.routing.module';; import { BrowserModule } from '@angular/platform-browser';; import { AppComponent } from './app.component';; import { HomeComponent } from './home/home.component';; import { ProductsComponent } from './products/products.component';; import { CustomersComponent } from './customers/customers.component';; import { NavTopMenuComponent } from './nav-top-menu/nav-top-menu.component';; import { NavSideMenuComponent } from './nav-side-menu/nav-side-menu.component';; import { CustomerDetailComponent } from './customer-detail/customer-detail.component';; import { CustomersClient, ProductsClient, API_BASE_URL } from './northwind-traders-api';; import { CamelCaseToText } from '../pipes/camel-case-to-text';; import { ModalModule } from 'ngx-bootstrap/modal';; import { AppIconsModule } from './app.icons.module';; import { ApiAuthorizationModule } from 'src/api-authorization/api-authorization.module';; import { AuthorizeInterceptor } from 'src/api-authorization/authorize.interceptor';; import { environment } from '../environments/environment';",./app.routing.module; ./app.component; ./home/home.component; ./products/products.component; ./customers/customers.component; ./nav-top-menu/nav-top-menu.component; ./nav-side-menu/nav-side-menu.component; ./customer-detail/customer-detail.component; ./northwind-traders-api; ../pipes/camel-case-to-text; ngx-bootstrap/modal; ./app.icons.module; src/api-authorization/api-authorization.module; src/api-authorization/authorize.interceptor; ../environments/environment,./app.routing.module::[no functions]; ./app.component::[no functions]; ./home/home.component::[no functions]; ./products/products.component::[no functions]; ./customers/customers.component::[no functions]; ./nav-top-menu/nav-top-menu.component::[no functions]; ./nav-side-menu/nav-side-menu.component::[no functions]; ./customer-detail/customer-detail.component::[no functions]; ./northwind-traders-api::[no functions]; ../pipes/camel-case-to-text::[no functions]; ngx-bootstrap/modal::[no functions]; ./app.icons.module::[no functions]; src/api-authorization/api-authorization.module::[no functions]; src/api-authorization/authorize.interceptor::[no functions]; ../environments/environment::[no functions],./app.routing.module; ./app.component; ./home/home.component; ./products/products.component; ./customers/customers.component; ./nav-top-menu/nav-top-menu.component; ./nav-side-menu/nav-side-menu.component; ./customer-detail/customer-detail.component; ./northwind-traders-api; ../pipes/camel-case-to-text; ngx-bootstrap/modal; ./app.icons.module; src/api-authorization/api-authorization.module; src/api-authorization/authorize.interceptor; ../environments/environment,,,,,15,1,AppModule,,AppModule
app.routing.module.ts,Src\WebUI\ClientApp\src\app\app.routing.module.ts,TypeScript,0,,"import { NgModule } from '@angular/core';; import { RouterModule, Routes } from '@angular/router';; import { CustomersComponent } from './customers/customers.component';; import { HomeComponent } from './home/home.component';; import { ProductsComponent } from './products/products.component';; import { AuthorizeGuard } from '../api-authorization/authorize.guard';",./customers/customers.component; ./home/home.component; ./products/products.component; ../api-authorization/authorize.guard,./customers/customers.component::[no functions]; ./home/home.component::[no functions]; ./products/products.component::[no functions]; ../api-authorization/authorize.guard::[no functions],./customers/customers.component; ./home/home.component; ./products/products.component; ../api-authorization/authorize.guard,,,,,4,1,AppRoutingModule,routes,AppRoutingModule
app.server.module.ts,Src\WebUI\ClientApp\src\app\app.server.module.ts,TypeScript,0,,import { NgModule } from '@angular/core';; import { ServerModule } from '@angular/platform-server';; import { ModuleMapLoaderModule } from '@nguniversal/module-map-ngfactory-loader';; import { AppComponent } from './app.component';; import { AppModule } from './app.module';,@angular/core; @angular/platform-server; @nguniversal/module-map-ngfactory-loader; ./app.component; ./app.module,@angular/core::[no functions]; @angular/platform-server::[no functions]; @nguniversal/module-map-ngfactory-loader::[no functions]; ./app.component::[no functions]; ./app.module::[no functions],@angular/core; @angular/platform-server; @nguniversal/module-map-ngfactory-loader; ./app.component; ./app.module,,,,,5,1,AppServerModule,,AppServerModule
customer-detail.component.ts,Src\WebUI\ClientApp\src\app\customer-detail\customer-detail.component.ts,TypeScript,2,ngOnInit; closeModal,"import { Component, OnInit, ChangeDetectionStrategy } from '@angular/core';; import { CustomerDetailVm } from '../northwind-traders-api';; import { BsModalRef } from 'ngx-bootstrap/modal';",../northwind-traders-api; ngx-bootstrap/modal,../northwind-traders-api::[no functions]; ngx-bootstrap/modal::[no functions],../northwind-traders-api; ngx-bootstrap/modal,,,,,2,1,CustomerDetailComponent,customer; detailKeys,CustomerDetailComponent
customers.component.ts,Src\WebUI\ClientApp\src\app\customers\customers.component.ts,TypeScript,2,constructor; customerDetail,"import { Component } from '@angular/core';; import { CustomersClient, CustomersListVm } from '../northwind-traders-api';; import { CustomerDetailComponent } from '../customer-detail/customer-detail.component';; import { BsModalRef, BsModalService } from 'ngx-bootstrap/modal';",../northwind-traders-api; ../customer-detail/customer-detail.component; ngx-bootstrap/modal,../northwind-traders-api::[no functions]; ../customer-detail/customer-detail.component::[no functions]; ngx-bootstrap/modal::[no functions],../northwind-traders-api; ../customer-detail/customer-detail.component; ngx-bootstrap/modal,,,,,3,1,CustomersComponent,vm; bsModalRef,CustomersComponent
home.component.ts,Src\WebUI\ClientApp\src\app\home\home.component.ts,TypeScript,0,,"import { Component } from ""@angular/core"";",@angular/core,@angular/core::[no functions],@angular/core,,,,,1,1,HomeComponent,,HomeComponent
nav-side-menu.component.ts,Src\WebUI\ClientApp\src\app\nav-side-menu\nav-side-menu.component.ts,TypeScript,0,,import { Component } from '@angular/core';,@angular/core,@angular/core::[no functions],@angular/core,,,,,1,1,NavSideMenuComponent,,NavSideMenuComponent
nav-top-menu.component.ts,Src\WebUI\ClientApp\src\app\nav-top-menu\nav-top-menu.component.ts,TypeScript,0,,import { Component } from '@angular/core';,@angular/core,@angular/core::[no functions],@angular/core,,,,,1,1,NavTopMenuComponent,,NavTopMenuComponent
northwind-traders-api.ts,Src\WebUI\ClientApp\src\app\northwind-traders-api.ts,TypeScript,38,getAll; processGetAll; upsert; processUpsert; delete; processDelete; getAll; processGetAll; get; processGet; create; processCreate; update; processUpdate; delete; processDelete; getAll; processGetAll; get; processGet; upsert; processUpsert; delete; processDelete; getAll; processGetAll; get; processGet; create; processCreate; update; processUpdate; delete; processDelete; download; processDownload; throwException; blobToText,"import { mergeMap as _observableMergeMap, catchError as _observableCatch } from 'rxjs/operators';; import { Observable, throwError as _observableThrow, of as _observableOf } from 'rxjs';; import { Injectable, Inject, Optional, InjectionToken } from '@angular/core';; import { HttpClient, HttpHeaders, HttpResponse, HttpResponseBase } from '@angular/common/http';",,,,,,,,0,23,CategoriesClient; CustomersClient; EmployeesClient; ProductsClient; CategoriesListVm; CategoryDto; ProblemDetails; UpsertCategoryCommand; CustomersListVm; CustomerLookupDto; CustomerDetailVm; CreateCustomerCommand; UpdateCustomerCommand; EmployeeLookupDto; EmployeeDetailVm; EmployeeTerritoryDto; UpsertEmployeeCommand; ProductsListVm; ProductDto; ProductDetailVm; CreateProductCommand; UpdateProductCommand; SwaggerException,API_BASE_URL,ICategoriesClient; CategoriesClient; ICustomersClient; CustomersClient; IEmployeesClient; EmployeesClient; IProductsClient; ProductsClient; CategoriesListVm; ICategoriesListVm; CategoryDto; ICategoryDto; ProblemDetails; IProblemDetails; UpsertCategoryCommand; IUpsertCategoryCommand; CustomersListVm; ICustomersListVm; CustomerLookupDto; ICustomerLookupDto; CustomerDetailVm; ICustomerDetailVm; CreateCustomerCommand; ICreateCustomerCommand; UpdateCustomerCommand; IUpdateCustomerCommand; EmployeeLookupDto; IEmployeeLookupDto; EmployeeDetailVm; IEmployeeDetailVm; EmployeeTerritoryDto; IEmployeeTerritoryDto; UpsertEmployeeCommand; IUpsertEmployeeCommand; ProductsListVm; IProductsListVm; ProductDto; IProductDto; ProductDetailVm; IProductDetailVm; CreateProductCommand; ICreateProductCommand; UpdateProductCommand; IUpdateProductCommand; FileResponse; SwaggerException
products.component.ts,Src\WebUI\ClientApp\src\app\products\products.component.ts,TypeScript,1,constructor,"import { Component } from '@angular/core';; import { ProductsClient, ProductsListVm } from '../northwind-traders-api';",@angular/core; ../northwind-traders-api,@angular/core::[no functions]; ../northwind-traders-api::[no functions],@angular/core; ../northwind-traders-api,,,,,2,1,ProductsComponent,productsListVm,ProductsComponent
environment.prod.ts,Src\WebUI\ClientApp\src\environments\environment.prod.ts,TypeScript,0,,,,,,,,,,0,0,,environment,environment
environment.ts,Src\WebUI\ClientApp\src\environments\environment.ts,TypeScript,0,,import 'zone.js/dist/zone-error';,zone.js/dist/zone-error,zone.js/dist/zone-error::[no functions],zone.js/dist/zone-error,,,,,1,0,,environment,environment
karma.conf.js,Src\WebUI\ClientApp\src\karma.conf.js,JavaScript,1,module.exports,"require('karma-jasmine'); require('karma-chrome-launcher'); require('karma-jasmine-html-reporter'); require('karma-coverage-istanbul-reporter'); require('@angular-devkit/build-angular/plugins/karma'); require('path').join(__dirname, '../coverage')",node_modules/karma-jasmine; node_modules/karma-chrome-launcher; node_modules/karma-jasmine-html-reporter; node_modules/karma-coverage-istanbul-reporter; node_modules/@angular-devkit/build-angular/plugins/karma; ../coverage,node_modules/karma-jasmine::[no functions]; node_modules/karma-chrome-launcher::[no functions]; node_modules/karma-jasmine-html-reporter::[no functions]; node_modules/karma-coverage-istanbul-reporter::[no functions]; node_modules/@angular-devkit/build-angular/plugins/karma::[no functions]; ../coverage::[no functions],node_modules/karma-jasmine; node_modules/karma-chrome-launcher; node_modules/karma-jasmine-html-reporter; node_modules/karma-coverage-istanbul-reporter; node_modules/@angular-devkit/build-angular/plugins/karma; ../coverage,,,,,6,0,,,module.exports
main.ts,Src\WebUI\ClientApp\src\main.ts,TypeScript,1,getBaseUrl,import { enableProdMode } from '@angular/core';; import { platformBrowserDynamic } from '@angular/platform-browser-dynamic';; import { AppModule } from './app/app.module';; import { environment } from './environments/environment';,@angular/core; @angular/platform-browser-dynamic; ./app/app.module; ./environments/environment,@angular/core::[no functions]; @angular/platform-browser-dynamic::[no functions]; ./app/app.module::[no functions]; ./environments/environment::[no functions],@angular/core; @angular/platform-browser-dynamic; ./app/app.module; ./environments/environment,,,,,4,0,,providers,
camel-case-to-text.ts,Src\WebUI\ClientApp\src\pipes\camel-case-to-text.ts,TypeScript,2,transform; upFirstLetter,"import { Pipe, PipeTransform } from '@angular/core';",@angular/core,@angular/core::[no functions],@angular/core,,,,,1,1,CamelCaseToText,,CamelCaseToText
polyfills.ts,Src\WebUI\ClientApp\src\polyfills.ts,TypeScript,0,,import 'zone.js/dist/zone',zone.js/dist/zone,zone.js/dist/zone::[no functions],zone.js/dist/zone,,,,,1,0,,,
test.ts,Src\WebUI\ClientApp\src\test.ts,TypeScript,3,initTestEnvironment; require.context; context.keys.map,"import 'zone.js/dist/zone-testing'; import { getTestBed } from '@angular/core/testing'; import { BrowserDynamicTestingModule, platformBrowserDynamicTesting } from '@angular/platform-browser-dynamic/testing'",zone.js/dist/zone-testing; @angular/core/testing; @angular/platform-browser-dynamic/testing,zone.js/dist/zone-testing::[no functions]; @angular/core/testing::[no functions]; @angular/platform-browser-dynamic/testing::[no functions],zone.js/dist/zone-testing; @angular/core/testing; @angular/platform-browser-dynamic/testing,,,,,3,0,,require; context,
CustomExceptionHandlerMiddleware.cs,Src\WebUI\Common\CustomExceptionHandlerMiddleware.cs,C#,4,CustomExceptionHandlerMiddleware; Invoke; HandleExceptionAsync; UseCustomExceptionHandler,using Microsoft.AspNetCore.Builder;; using Microsoft.AspNetCore.Http;; using Newtonsoft.Json;; using Northwind.Application.Common.Exceptions;; using System;; using System.Net;; using System.Threading.Tasks;,Northwind/Application/Common/Exceptions/ValidationException.cs; Northwind/Application/Common/Exceptions/BadRequestException.cs; Northwind/Application/Common/Exceptions/NotFoundException.cs,Northwind/Application/Common/Exceptions/ValidationException.cs::[no functions]; Northwind/Application/Common/Exceptions/BadRequestException.cs::[no functions]; Northwind/Application/Common/Exceptions/NotFoundException.cs::[no functions],Northwind/Application/Common/Exceptions/ValidationException.cs; Northwind/Application/Common/Exceptions/BadRequestException.cs; Northwind/Application/Common/Exceptions/NotFoundException.cs,,,,,3,2,CustomExceptionHandlerMiddleware; CustomExceptionHandlerMiddlewareExtensions,,CustomExceptionHandlerMiddleware; CustomExceptionHandlerMiddlewareExtensions
BaseController.cs,Src\WebUI\Controllers\BaseController.cs,C#,0,,using MediatR;; using Microsoft.AspNetCore.Mvc;; using Microsoft.Extensions.DependencyInjection;,,,,,,,,0,1,BaseController,,BaseController
CategoriesController.cs,Src\WebUI\Controllers\CategoriesController.cs,C#,3,GetAll; Upsert; Delete,using Microsoft.AspNetCore.Authorization;; using Microsoft.AspNetCore.Http;; using Microsoft.AspNetCore.Mvc;; using Northwind.Application.Categories.Commands.DeleteCategory;; using Northwind.Application.Categories.Commands.UpsertCategory;; using Northwind.Application.Categories.Queries.GetCategoriesList;; using System.Threading.Tasks;,Northwind/Application/Categories/Commands/DeleteCategory.cs; Northwind/Application/Categories/Commands/UpsertCategory.cs; Northwind/Application/Categories/Queries/GetCategoriesList.cs,Northwind/Application/Categories/Commands/DeleteCategory.cs::[no functions]; Northwind/Application/Categories/Commands/UpsertCategory.cs::[no functions]; Northwind/Application/Categories/Queries/GetCategoriesList.cs::[no functions],Northwind/Application/Categories/Commands/DeleteCategory.cs; Northwind/Application/Categories/Commands/UpsertCategory.cs; Northwind/Application/Categories/Queries/GetCategoriesList.cs,,,,,3,1,CategoriesController,,CategoriesController
CustomersController.cs,Src\WebUI\Controllers\CustomersController.cs,C#,5,GetAll; Get; Create; Update; Delete,using Microsoft.AspNetCore.Authorization;; using Microsoft.AspNetCore.Http;; using Microsoft.AspNetCore.Mvc;; using Northwind.Application.Customers.Commands.CreateCustomer;; using Northwind.Application.Customers.Commands.DeleteCustomer;; using Northwind.Application.Customers.Commands.UpdateCustomer;; using Northwind.Application.Customers.Queries.GetCustomerDetail;; using Northwind.Application.Customers.Queries.GetCustomersList;; using System.Threading.Tasks;,Northwind/Application/Customers/Commands/CreateCustomer.cs; Northwind/Application/Customers/Commands/DeleteCustomer.cs; Northwind/Application/Customers/Commands/UpdateCustomer.cs; Northwind/Application/Customers/Queries/GetCustomerDetail.cs; Northwind/Application/Customers/Queries/GetCustomersList.cs,Northwind/Application/Customers/Commands/CreateCustomer.cs::[no functions]; Northwind/Application/Customers/Commands/DeleteCustomer.cs::[no functions]; Northwind/Application/Customers/Commands/UpdateCustomer.cs::[no functions]; Northwind/Application/Customers/Queries/GetCustomerDetail.cs::[no functions]; Northwind/Application/Customers/Queries/GetCustomersList.cs::[no functions],Northwind/Application/Customers/Commands/CreateCustomer.cs; Northwind/Application/Customers/Commands/DeleteCustomer.cs; Northwind/Application/Customers/Commands/UpdateCustomer.cs; Northwind/Application/Customers/Queries/GetCustomerDetail.cs; Northwind/Application/Customers/Queries/GetCustomersList.cs,,,,,5,1,CustomersController,,CustomersController
EmployeesController.cs,Src\WebUI\Controllers\EmployeesController.cs,C#,4,GetAll; Get; Upsert; Delete,using Microsoft.AspNetCore.Http;; using Microsoft.AspNetCore.Mvc;; using Northwind.Application.Employees.Commands.DeleteEmployee;; using Northwind.Application.Employees.Commands.UpsertEmployee;; using Northwind.Application.Employees.Queries.GetEmployeeDetail;; using Northwind.Application.Employees.Queries.GetEmployeesList;; using System.Collections.Generic;; using System.Threading.Tasks;,Northwind/Application/Employees/Commands/DeleteEmployee.cs; Northwind/Application/Employees/Commands/UpsertEmployee.cs; Northwind/Application/Employees/Queries/GetEmployeeDetail.cs; Northwind/Application/Employees/Queries/GetEmployeesList.cs,Northwind/Application/Employees/Commands/DeleteEmployee.cs::[no functions]; Northwind/Application/Employees/Commands/UpsertEmployee.cs::[no functions]; Northwind/Application/Employees/Queries/GetEmployeeDetail.cs::[no functions]; Northwind/Application/Employees/Queries/GetEmployeesList.cs::[no functions],Northwind/Application/Employees/Commands/DeleteEmployee.cs; Northwind/Application/Employees/Commands/UpsertEmployee.cs; Northwind/Application/Employees/Queries/GetEmployeeDetail.cs; Northwind/Application/Employees/Queries/GetEmployeesList.cs,,,,,4,1,EmployeesController,,EmployeesController
OidcConfigurationController.cs,Src\WebUI\Controllers\OidcConfigurationController.cs,C#,2,OidcConfigurationController; GetClientRequestParameters,using Microsoft.AspNetCore.ApiAuthorization.IdentityServer;; using Microsoft.AspNetCore.Mvc;; using Microsoft.Extensions.Logging;,,,,,,,,0,1,OidcConfigurationController,logger; ClientRequestParametersProvider,OidcConfigurationController
ProductsController.cs,Src\WebUI\Controllers\ProductsController.cs,C#,6,GetAll; Get; Create; Update; Delete; Download,using System.Threading.Tasks;; using Microsoft.AspNetCore.Authorization;; using Microsoft.AspNetCore.Mvc;; using Northwind.Application.Products.Commands.CreateProduct;; using Northwind.Application.Products.Commands.DeleteProduct;; using Northwind.Application.Products.Commands.UpdateProduct;; using Northwind.Application.Products.Queries.GetProductsList;; using Northwind.Application.Products.Queries.GetProductDetail;; using Microsoft.AspNetCore.Http;; using Northwind.Application.Products.Queries.GetProductsFile;,Northwind/Application/Products/Commands/CreateProduct.cs; Northwind/Application/Products/Commands/DeleteProduct.cs; Northwind/Application/Products/Commands/UpdateProduct.cs; Northwind/Application/Products/Queries/GetProductsList.cs; Northwind/Application/Products/Queries/GetProductDetail.cs; Northwind/Application/Products/Queries/GetProductsFile.cs,Northwind/Application/Products/Commands/CreateProduct.cs::[no functions]; Northwind/Application/Products/Commands/DeleteProduct.cs::[no functions]; Northwind/Application/Products/Commands/UpdateProduct.cs::[no functions]; Northwind/Application/Products/Queries/GetProductsList.cs::[no functions]; Northwind/Application/Products/Queries/GetProductDetail.cs::[no functions]; Northwind/Application/Products/Queries/GetProductsFile.cs::[no functions],Northwind/Application/Products/Commands/CreateProduct.cs; Northwind/Application/Products/Commands/DeleteProduct.cs; Northwind/Application/Products/Commands/UpdateProduct.cs; Northwind/Application/Products/Queries/GetProductsList.cs; Northwind/Application/Products/Queries/GetProductDetail.cs; Northwind/Application/Products/Queries/GetProductsFile.cs,,,,,6,1,ProductsController,,ProductsController
